question_id,query,type,difficulty,mode,k,recall,precision,mrr,num_ground_truth,num_overlap
1,Was ist EDI (Electronic Data Interchange)?,definition,beginner,flat,3,0.0,0.0,0.0,1,0
1,Was ist EDI (Electronic Data Interchange)?,definition,beginner,flat,5,0.0,0.0,0.0,1,0
1,Was ist EDI (Electronic Data Interchange)?,definition,beginner,flat,10,0.0,0.0,0.0,1,0
2,Was ist ein XML-Schema (XSD)?,definition,beginner,flat,3,0.0,0.0,0.0,2,0
2,Was ist ein XML-Schema (XSD)?,definition,beginner,flat,5,0.0,0.0,0.0,2,0
2,Was ist ein XML-Schema (XSD)?,definition,beginner,flat,10,1.0,0.2,0.16666666666666666,2,2
3,Was bedeutet 'Well-Formed' bei XML-Dokumenten?,definition,beginner,flat,3,0.5,0.3333333333333333,0.5,2,1
3,Was bedeutet 'Well-Formed' bei XML-Dokumenten?,definition,beginner,flat,5,0.5,0.2,0.5,2,1
3,Was bedeutet 'Well-Formed' bei XML-Dokumenten?,definition,beginner,flat,10,0.5,0.1,0.5,2,1
4,Was ist ein XML-Namespace?,definition,intermediate,flat,3,0.5,0.3333333333333333,1.0,2,1
4,Was ist ein XML-Namespace?,definition,intermediate,flat,5,0.5,0.2,1.0,2,1
4,Was ist ein XML-Namespace?,definition,intermediate,flat,10,0.5,0.1,1.0,2,1
5,Was ist X.400 und wo wird es eingesetzt?,definition,intermediate,flat,3,0.5,0.3333333333333333,1.0,2,1
5,Was ist X.400 und wo wird es eingesetzt?,definition,intermediate,flat,5,0.5,0.2,1.0,2,1
5,Was ist X.400 und wo wird es eingesetzt?,definition,intermediate,flat,10,0.5,0.1,1.0,2,1
6,Was ist EDIFACT?,definition,beginner,flat,3,0.0,0.0,0.0,3,0
6,Was ist EDIFACT?,definition,beginner,flat,5,0.0,0.0,0.0,3,0
6,Was ist EDIFACT?,definition,beginner,flat,10,0.3333333333333333,0.1,0.1111111111111111,3,1
7,Was ist ein XML-Element?,definition,beginner,flat,3,0.0,0.0,0.0,3,0
7,Was ist ein XML-Element?,definition,beginner,flat,5,0.0,0.0,0.0,3,0
7,Was ist ein XML-Element?,definition,beginner,flat,10,0.3333333333333333,0.1,0.16666666666666666,3,1
8,Was ist XPath?,definition,intermediate,flat,3,0.5,0.3333333333333333,1.0,2,1
8,Was ist XPath?,definition,intermediate,flat,5,0.5,0.2,1.0,2,1
8,Was ist XPath?,definition,intermediate,flat,10,0.5,0.1,1.0,2,1
9,Was ist XSLT?,definition,intermediate,flat,3,0.5,0.3333333333333333,1.0,2,1
9,Was ist XSLT?,definition,intermediate,flat,5,0.5,0.2,1.0,2,1
9,Was ist XSLT?,definition,intermediate,flat,10,0.5,0.1,1.0,2,1
10,Was ist ein SimpleType in XML Schema?,definition,intermediate,flat,3,0.0,0.0,0.0,2,0
10,Was ist ein SimpleType in XML Schema?,definition,intermediate,flat,5,0.0,0.0,0.0,2,0
10,Was ist ein SimpleType in XML Schema?,definition,intermediate,flat,10,0.0,0.0,0.0,2,0
